link_id,link_type,inlet_node,outlet_node,length,roughness,shape,max_depth_or_diameter,inlet_offset,outlet_offset,slope,minor_loss_inlet,minor_loss_outlet,minor_loss_average,model_version,is_added
F74F370_F74F360_l1,conduit,F74F370,F74F360,51.3332044190733,0.012987012987013,CIRCULAR,0.5,0.0,0.0,0.0001948056840239687,,,,original,0
F74F380_F74F370_l1,conduit,F74F380,F74F370,71.6947124668505,0.012987012987013,CIRCULAR,0.5,0.0,0.0,0.0005579211998164293,,,,original,0
F74F390_F74F380_l1,conduit,F74F390,F74F380,72.28303065049171,0.012987012987013,CIRCULAR,0.5,0.0,0.0,0.0008300703423756118,,,,original,0
F74F410_F74F390_l1,conduit,F74F410,F74F390,65.6279754809087,0.012987012987013,CIRCULAR,0.5,0.0,0.0,0.0019808625673332896,,,,original,0
F74F420_F74F410_l1,conduit,F74F420,F74F410,90.54726283674971,0.012987012987013,CIRCULAR,0.5,0.0,0.0,0.0012148351761700781,,,,original,0
F74F430_F74F420_l1,conduit,F74F430,F74F420,27.728569081561197,0.012987012987013,CIRCULAR,0.5,0.0,0.0,0.0007212777529619829,,,,original,0
F74F440_F74F430_l1,conduit,F74F440,F74F430,53.2915196330092,0.012987012987013,CIRCULAR,0.5,0.0,0.0,0.001876471166306521,,,,original,0
F74F445_F74F440_l1,conduit,F74F445,F74F440,21.232489465144997,0.012987012987013,CIRCULAR,0.5,0.0,0.0,0.008948550301268395,,,,original,0
G60F010_F74F445_l1,conduit,G60F010,F74F445,28.8727829387657,0.012987012987013,CIRCULAR,0.5,0.0,0.0,0.0027707755144235594,,,,original,0
G60F020_G60F010_l1,conduit,G60F020,G60F010,50.654876982480005,0.012987012987013,CIRCULAR,0.5,0.0,0.0,0.003158629721977991,,,,original,0
G60F030_G60F020_l1,conduit,G60F030,G60F020,62.4395297186424,0.012987012987013,CIRCULAR,0.5,0.0,0.0,0.0020820143999448963,,,,original,0
G60F040_G60F030_l1,conduit,G60F040,G60F030,69.55559249172629,0.012987012987013,CIRCULAR,0.5,0.0,0.0,0.004313096751144576,,,,original,0
G60F060_G60F040_l1,conduit,G60F060,G60F040,70.3601752220487,0.012987012987013,CIRCULAR,0.5,0.0,0.0,0.0027003912284240504,,,,original,0
G60F070_G60F060_l1,conduit,G60F070,G60F060,65.3137693439798,0.012987012987013,CIRCULAR,0.5,0.0,0.0,0.005205640455527297,,,,original,0
G60F090_G60F070_l1,conduit,G60F090,G60F070,58.065456511623005,0.012987012987013,CIRCULAR,0.5,0.0,0.0,0.0,,,,original,0
G60F110_G60F090_l1,conduit,G60F110,G60F090,62.270669871714404,0.012987012987013,CIRCULAR,0.5,0.0,0.0,0.0035329634393403662,,,,original,0
G60F120_G60F110_l1,conduit,G60F120,G60F110,56.234432254612706,0.012987012987013,CIRCULAR,0.5,0.0,0.0,0.0012447889521327328,,,,original,0
G60F130_G60F120_l1,conduit,G60F130,G60F120,62.7625245157845,0.012987012987013,CIRCULAR,0.5,0.0,0.0,0.0028679534704620156,,,,original,0
G60F140_G60F130_l1,conduit,G60F140,G60F130,32.916104885637395,0.012987012987013,CIRCULAR,0.5,0.0,0.0,0.002126618572981346,,,,original,0
