node_id,node_type,invert_elevation,max_depth,initial_depth,surcharge_depth,ponded_area,x_coord,y_coord,is_storage,is_outfall,is_pump_station_forebay,model_version,is_added
F74F370,junction,9.419,2.23,0.0,0.0,0.0,586712.67,6135376.58,False,False,False,original,0
F74F380,junction,9.459,2.83,0.0,0.0,0.0,586649.4,6135342.86,False,False,False,original,0
F74F390,junction,9.519,3.19,0.0,0.0,0.0,586586.39,6135307.44,False,False,False,original,0
F74F410,junction,9.649,3.7,0.0,0.0,0.0,586522.33,6135293.18,False,False,False,original,0
F74F420,junction,9.759,4.93,0.0,0.0,0.0,586437.42,6135261.73,False,False,False,original,0
F74F430,junction,9.779,2.96,0.0,0.0,0.0,586418.87,6135241.12,False,False,False,original,0
F74F440,junction,9.879,4.54,0.0,0.0,0.0,586389.87,6135196.41,False,False,False,original,0
F74F445,junction,10.069,4.75,0.0,0.0,0.0,586368.79,6135193.87,False,False,False,original,0
G60F010,junction,10.149,4.67,0.0,0.0,0.0,586348.59,6135173.24,False,False,False,original,0
G60F020,junction,10.309,3.19,0.0,0.0,0.0,586334.48,6135124.59,False,False,False,original,0
G60F030,junction,10.439,2.84,0.0,0.0,0.0,586317.98,6135064.37,False,False,False,original,0
G60F040,junction,10.739,2.83,0.0,0.0,0.0,586300.22,6134997.12,False,False,False,original,0
G60F060,junction,10.929,2.75,0.0,0.0,0.0,586250.01,6134947.83,False,False,False,original,0
G60F070,junction,11.269,2.58,0.0,0.0,0.0,586202.71,6134902.79,False,False,False,original,0
G60F090,junction,11.269,2.75,0.0,0.0,0.0,586161.12,6134862.27,False,False,False,original,0
G60F110,junction,11.489,2.67,0.0,0.0,0.0,586110.96,6134825.37,False,False,False,original,0
G60F120,junction,11.559,2.46,0.0,0.0,0.0,586107.88,6134769.22,False,False,False,original,0
G60F130,junction,11.739,2.64,0.0,0.0,0.0,586060.92,6134727.58,False,False,False,original,0
G60F140,junction,11.809,3.34,0.0,0.0,0.0,586035.74,6134706.38,False,False,False,original,0
G60F141,junction,11.819,3.03,0.0,0.0,0.0,586028.03,6134712.33,False,False,False,original,0
G60F160,junction,11.889,4.67,0.0,0.0,0.0,586010.4,6134683.68,False,False,False,original,0
G60F170,junction,11.949,5.67,0.0,0.0,0.0,585971.72,6134632.42,False,False,False,original,0
G60F180,junction,12.139,5.81,0.0,0.0,0.0,585933.75,6134581.06,False,False,False,original,0
G60F190,junction,12.219,7.26,0.0,0.0,0.0,585892.5,6134579.04,False,False,False,original,0
G60F210,junction,12.239,7.11,0.0,0.0,0.0,585874.58,6134584.88,False,False,False,original,0
G60F230,junction,12.959,2.46,0.0,0.0,0.0,586149.95,6134937.36,False,False,False,original,0
G60F240,junction,14.319,2.8,0.0,0.0,0.0,586075.42,6134992.01,False,False,False,original,0
G60F260,junction,16.039,1.74,0.0,0.0,0.0,585981.73,6134984.87,False,False,False,original,0
G60F280,junction,18.309,1.99,0.0,0.0,0.0,585886.57,6134984.33,False,False,False,original,0
G60F320,junction,19.649,1.81,0.0,0.0,0.0,585819.11,6134984.29,False,False,False,original,0
G60F330,junction,19.829,2.06,0.0,0.0,0.0,585805.95,6134981.97,False,False,False,original,0
G60F340,junction,20.159,2.32,0.0,0.0,0.0,585770.92,6134959.58,False,False,False,original,0
G60F350,junction,20.359,2.36,0.0,0.0,0.0,585745.36,6134939.86,False,False,False,original,0
G60F360,junction,20.479,2.48,0.0,0.0,0.0,585728.88,6134927.15,False,False,False,original,0
G60F380,junction,20.599,2.58,0.0,0.0,0.0,585714.23,6134914.2,False,False,False,original,0
G60F60X,junction,11.989,2.33,0.0,0.0,0.0,586198.26,6134902.78,False,False,False,original,0
G60F60Y,junction,11.989,2.33,0.0,0.0,0.0,586198.11,6134903.1,False,False,False,original,0
G60F61Y,junction,21.179,2.84,0.0,0.0,0.0,585679.26,6134890.07,False,False,False,original,0
G60K009,junction,22.01,1.739,0.0,0.0,0.0,585839.24,6134815.68,False,False,False,original,0
G60K200,junction,9.92,0.499000000000001,0.0,0.0,0.0,586316.24,6134961.05,False,False,False,original,0
G60K210,junction,9.819,0.5,0.0,0.0,0.0,586333.23,6134955.93,False,False,False,original,0
G60K300,junction,17.22,1.759,0.0,0.0,0.0,585928.44,6134981.63,False,False,False,original,0
G60K301,junction,17.82,1.129,0.0,0.0,0.0,585935.29,6134984.35,False,False,False,original,0
G60K309,junction,24.76,1.759,0.0,0.0,0.0,585720.82,6134797.25,False,False,False,original,0
G60K311,junction,24.869,1.07,0.0,0.0,0.0,585743.83,6134766.47,False,False,False,original,0
G60O220,junction,11.979,1.22,0.0,0.0,0.0,586198.15,6134900.9,False,False,False,original,0
G60O230,junction,13.519,1.9,0.0,0.0,0.0,586136.34,6134944.73,False,False,False,original,0
G60O240,junction,15.159,1.94,0.0,0.0,0.0,586075.85,6134989.11,False,False,False,original,0
G60O260,junction,16.169,1.27,0.0,0.0,0.0,586006.53,6134983.84,False,False,False,original,0
G60O280,junction,17.809,2.44,0.0,0.0,0.0,585887.62,6134982.88,False,False,False,original,0
G60O320,junction,18.819,2.61,0.0,0.0,0.0,585817.74,6134981.51,False,False,False,original,0
G60O330,junction,19.409,2.47,0.0,0.0,0.0,585797.01,6134973.43,False,False,False,original,0
G60O340,junction,20.259,2.15,0.0,0.0,0.0,585770.68,6134957.25,False,False,False,original,0
