subcatchment_id,rain_gage_id,outlet_node,area,impervious_percent,width,slope,curb_length,snow_pack,polygon_points,subarea_params,infiltration_params,model_version,is_added
BellAa_1358_17896_6,rg5425,G72R84B,1.258,1.92,112.183,0.03,0.0,,"[[""583374.655"", ""6133630.506""], [""583353.957"", ""6133631.970""], [""583314.987"", ""6133634.727""], [""583231.042"", ""6133652.534""], [""583225.042"", ""6133653.807""], [""583205.703"", ""6133687.396""], [""583262.221"", ""6133709.852""], [""583266.094"", ""6133711.391""], [""583289.466"", ""6133733.404""], [""583311.602"", ""6133754.253""], [""583288.475"", ""6133823.950""], [""583282.089"", ""6133843.193""], [""583268.766"", ""6133876.769""], [""583275.319"", ""6133878.363""], [""583374.655"", ""6133630.506""]]","[""BellAa_1358_17896_6"", ""0.004884293609392481"", ""11.3"", ""0.03"", ""0.03"", ""25"", ""OUTLET""]","[""BellAa_1358_17896_6"", ""10000"", ""10000"", ""7"", ""7"", ""0""]",original,0
G72R272_8122,rg5425,G72R272,0.107,54.150000000000006,437.2480000000001,0.03,0.0,,"[[""582800.059"", ""6133527.929""], [""582820.433"", ""6133509.339""], [""582808.776"", ""6133492.104""], [""582769.103"", ""6133526.307""], [""582781.796"", ""6133541.561""], [""582800.059"", ""6133527.929""]]","[""G72R272_8122"", ""0.019037176863871033"", ""11.3"", ""0.03"", ""0.03"", ""25"", ""OUTLET""]","[""G72R272_8122"", ""10000"", ""10000"", ""7"", ""7"", ""0""]",original,0
G72R280_8123,rg5425,G72R280,0.227,23.580000000000002,50.262,0.03,0.0,,"[[""582751.508"", ""6133505.964""], [""582733.909"", ""6133480.481""], [""582689.221"", ""6133520.720""], [""582705.431"", ""6133560.041""], [""582751.508"", ""6133505.964""]]","[""G72R280_8123"", ""0.0021883383881273"", ""11.3"", ""0.03"", ""0.03"", ""25"", ""OUTLET""]","[""G72R280_8123"", ""10000"", ""10000"", ""7"", ""7"", ""0""]",original,0
G72R290_8124,rg5425,G72R290,0.17,0.0,35.319,0.03,0.0,,"[[""582702.113"", ""6133575.972""], [""582705.431"", ""6133560.041""], [""582689.221"", ""6133520.720""], [""582686.396"", ""6133523.065""], [""582656.512"", ""6133547.880""], [""582688.903"", ""6133586.706""], [""582702.113"", ""6133575.972""]]","[""G72R290_8124"", ""0.0015377407092886895"", ""11.3"", ""0.03"", ""0.03"", ""25"", ""OUTLET""]","[""G72R290_8124"", ""10000"", ""10000"", ""7"", ""7"", ""0""]",original,0
G72R291_8125,rg5425,G72R291,0.237,27.790000000000006,53.486,0.03,0.0,,"[[""582688.903"", ""6133586.706""], [""582656.512"", ""6133547.880""], [""582632.253"", ""6133569.580""], [""582620.038"", ""6133580.333""], [""582647.304"", ""6133615.840""], [""582688.903"", ""6133586.706""]]","[""G72R291_8125"", ""0.002328706916306091"", ""11.3"", ""0.03"", ""0.03"", ""25"", ""OUTLET""]","[""G72R291_8125"", ""10000"", ""10000"", ""7"", ""7"", ""0""]",original,0
G72R292_8126,rg5425,G72R292,0.104,37.88,22.169,0.03,0.0,,"[[""582647.304"", ""6133615.840""], [""582620.038"", ""6133580.333""], [""582602.744"", ""6133594.990""], [""582626.842"", ""6133630.165""], [""582647.304"", ""6133615.840""]]","[""G72R292_8126"", ""0.0009652077857306537"", ""11.3"", ""0.03"", ""0.03"", ""25"", ""OUTLET""]","[""G72R292_8126"", ""10000"", ""10000"", ""7"", ""7"", ""0""]",original,0
G72R293_8127,rg5425,G72R293,0.136,24.51000000000001,34.052,0.03,0.0,,"[[""582626.842"", ""6133630.165""], [""582602.744"", ""6133594.990""], [""582578.284"", ""6133618.500""], [""582598.658"", ""6133649.904""], [""582626.842"", ""6133630.165""]]","[""G72R293_8127"", ""0.001482577270950436"", ""11.3"", ""0.03"", ""0.03"", ""25"", ""OUTLET""]","[""G72R293_8127"", ""10000"", ""10000"", ""7"", ""7"", ""0""]",original,0
G72R294_8128,rg5425,G72R294,0.254,20.299999999999997,49.688,0.03,0.0,,"[[""582698.537"", ""6133604.898""], [""582702.113"", ""6133575.972""], [""582688.903"", ""6133586.706""], [""582647.304"", ""6133615.840""], [""582626.842"", ""6133630.165""], [""582598.658"", ""6133649.904""], [""582611.271"", ""6133669.152""], [""582698.537"", ""6133604.898""]]","[""G72R294_8128"", ""0.0021633472171674285"", ""11.3"", ""0.03"", ""0.03"", ""25"", ""OUTLET""]","[""G72R294_8128"", ""10000"", ""10000"", ""7"", ""7"", ""0""]",original,0
G72R295_8129,rg5425,G72R295,0.28800000000000003,33.19,106.869,0.03,0.0,,"[[""582662.202"", ""6133672.169""], [""582689.869"", ""6133638.723""], [""582698.537"", ""6133604.898""], [""582611.271"", ""6133669.152""], [""582634.617"", ""6133701.612""], [""582662.202"", ""6133672.169""]]","[""G72R295_8129"", ""0.004652929354199523"", ""11.3"", ""0.03"", ""0.03"", ""25"", ""OUTLET""]","[""G72R295_8129"", ""10000"", ""10000"", ""7"", ""7"", ""0""]",original,0
G72R310_8130,rg5425,G72R310,0.226,40.62,31.364,0.03,0.0,,"[[""582872.851"", ""6133593.471""], [""582859.039"", ""6133579.099""], [""582858.412"", ""6133560.091""], [""582820.433"", ""6133509.339""], [""582800.059"", ""6133527.929""], [""582830.212"", ""6133563.653""], [""582850.693"", ""6133588.067""], [""582864.836"", ""6133604.869""], [""582869.412"", ""6133610.305""], [""582877.329"", ""6133598.928""], [""582877.651"", ""6133598.466""], [""582872.851"", ""6133593.471""]]","[""G72R310_8130"", ""0.0013655454459676223"", ""11.3"", ""0.03"", ""0.03"", ""25"", ""OUTLET""]","[""G72R310_8130"", ""10000"", ""10000"", ""7"", ""7"", ""0""]",original,0
