scenario_id,scenario_dir,inp_path,rg5425_dat_path,rg5427_dat_path,source_start_time,simulation_start_time,duration_hours,intensity_scale,peak_day,total_rainfall_mm,peak_minute_rainfall_mm,manual_run_status,notes
scenario_01,outputs/swmm_runs/part3_scenario_candidates/scenario_01,outputs/swmm_runs/part3_scenario_candidates/scenario_01/scenario_01.inp,outputs/swmm_runs/part3_scenario_candidates/scenario_01/scenario_01_rg5425.dat,outputs/swmm_runs/part3_scenario_candidates/scenario_01/scenario_01_rg5427.dat,2010-06-07 03:44:00,2017-06-29 11:31:00,6,0.8,1,33.29927,0.44002,completed,manual SWMM run completed; ready for baseline selection
scenario_02,outputs/swmm_runs/part3_scenario_candidates/scenario_02,outputs/swmm_runs/part3_scenario_candidates/scenario_02/scenario_02.inp,outputs/swmm_runs/part3_scenario_candidates/scenario_02/scenario_02_rg5425.dat,outputs/swmm_runs/part3_scenario_candidates/scenario_02/scenario_02_rg5427.dat,2011-06-08 15:46:00,2017-06-29 06:27:00,12,1.0,1,38.54508,0.33333,completed,manual SWMM run completed; ready for baseline selection
scenario_03,outputs/swmm_runs/part3_scenario_candidates/scenario_03,outputs/swmm_runs/part3_scenario_candidates/scenario_03/scenario_03.inp,outputs/swmm_runs/part3_scenario_candidates/scenario_03/scenario_03_rg5425.dat,outputs/swmm_runs/part3_scenario_candidates/scenario_03/scenario_03_rg5427.dat,2010-06-07 03:44:00,2017-06-29 11:31:00,6,1.2,1,49.94772,0.66002,completed,manual SWMM run completed; ready for baseline selection
scenario_04,outputs/swmm_runs/part3_scenario_candidates/scenario_04,outputs/swmm_runs/part3_scenario_candidates/scenario_04/scenario_04.inp,outputs/swmm_runs/part3_scenario_candidates/scenario_04/scenario_04_rg5425.dat,outputs/swmm_runs/part3_scenario_candidates/scenario_04/scenario_04_rg5427.dat,2011-06-08 15:46:00,2017-06-29 06:27:00,12,1.5,1,57.81762,0.5,completed,manual SWMM run completed; ready for baseline selection
scenario_05,outputs/swmm_runs/part3_scenario_candidates/scenario_05,outputs/swmm_runs/part3_scenario_candidates/scenario_05/scenario_05.inp,outputs/swmm_runs/part3_scenario_candidates/scenario_05/scenario_05_rg5425.dat,outputs/swmm_runs/part3_scenario_candidates/scenario_05/scenario_05_rg5427.dat,2010-06-07 03:44:00,2017-06-30 11:31:00,6,0.8,2,33.29927,0.44002,completed,manual SWMM run completed; ready for baseline selection
scenario_06,outputs/swmm_runs/part3_scenario_candidates/scenario_06,outputs/swmm_runs/part3_scenario_candidates/scenario_06/scenario_06.inp,outputs/swmm_runs/part3_scenario_candidates/scenario_06/scenario_06_rg5425.dat,outputs/swmm_runs/part3_scenario_candidates/scenario_06/scenario_06_rg5427.dat,2011-06-08 15:46:00,2017-06-30 06:27:00,12,1.0,2,38.54508,0.33333,completed,manual SWMM run completed; ready for baseline selection
scenario_07,outputs/swmm_runs/part3_scenario_candidates/scenario_07,outputs/swmm_runs/part3_scenario_candidates/scenario_07/scenario_07.inp,outputs/swmm_runs/part3_scenario_candidates/scenario_07/scenario_07_rg5425.dat,outputs/swmm_runs/part3_scenario_candidates/scenario_07/scenario_07_rg5427.dat,2010-06-07 03:44:00,2017-06-30 11:31:00,6,1.2,2,49.94772,0.66002,completed,manual SWMM run completed; ready for baseline selection
scenario_08,outputs/swmm_runs/part3_scenario_candidates/scenario_08,outputs/swmm_runs/part3_scenario_candidates/scenario_08/scenario_08.inp,outputs/swmm_runs/part3_scenario_candidates/scenario_08/scenario_08_rg5425.dat,outputs/swmm_runs/part3_scenario_candidates/scenario_08/scenario_08_rg5427.dat,2011-06-08 15:46:00,2017-06-30 06:27:00,12,1.5,2,57.81762,0.5,completed,manual SWMM run completed; ready for baseline selection
scenario_09,outputs/swmm_runs/part3_scenario_candidates/scenario_09,outputs/swmm_runs/part3_scenario_candidates/scenario_09/scenario_09.inp,outputs/swmm_runs/part3_scenario_candidates/scenario_09/scenario_09_rg5425.dat,outputs/swmm_runs/part3_scenario_candidates/scenario_09/scenario_09_rg5427.dat,2010-06-07 03:44:00,2017-07-01 11:31:00,6,0.8,3,33.29927,0.44002,completed,manual SWMM run completed; ready for baseline selection
scenario_10,outputs/swmm_runs/part3_scenario_candidates/scenario_10,outputs/swmm_runs/part3_scenario_candidates/scenario_10/scenario_10.inp,outputs/swmm_runs/part3_scenario_candidates/scenario_10/scenario_10_rg5425.dat,outputs/swmm_runs/part3_scenario_candidates/scenario_10/scenario_10_rg5427.dat,2011-06-08 15:46:00,2017-07-01 06:27:00,12,1.0,3,38.54508,0.33333,completed,manual SWMM run completed; ready for baseline selection
scenario_11,outputs/swmm_runs/part3_scenario_candidates/scenario_11,outputs/swmm_runs/part3_scenario_candidates/scenario_11/scenario_11.inp,outputs/swmm_runs/part3_scenario_candidates/scenario_11/scenario_11_rg5425.dat,outputs/swmm_runs/part3_scenario_candidates/scenario_11/scenario_11_rg5427.dat,2010-06-07 03:44:00,2017-07-01 11:31:00,6,1.2,3,49.94772,0.66002,completed,manual SWMM run completed; ready for baseline selection
scenario_12,outputs/swmm_runs/part3_scenario_candidates/scenario_12,outputs/swmm_runs/part3_scenario_candidates/scenario_12/scenario_12.inp,outputs/swmm_runs/part3_scenario_candidates/scenario_12/scenario_12_rg5425.dat,outputs/swmm_runs/part3_scenario_candidates/scenario_12/scenario_12_rg5427.dat,2011-06-08 15:46:00,2017-07-01 06:27:00,12,1.5,3,57.81762,0.5,completed,manual SWMM run completed; ready for baseline selection
