scenario_id,scenario_dir,inp_path,rg5425_dat_path,rg5427_dat_path,source_start_time,simulation_start_time,duration_hours,intensity_scale,peak_day,total_rainfall_mm,peak_minute_rainfall_mm,manual_run_status,notes,rpt_exists,total_precip_mm,surface_runoff_mm,wet_weather_inflow_million_l,external_outflow_million_l,flooding_loss_million_l,flooded_node_count,max_node_flood_volume_million_l,max_flood_rate_cms,total_pump_energy_kwh,total_pump_starts,final_stored_volume_million_l,runoff_continuity_error_pct,routing_continuity_error_pct,baseline_score
scenario_02,outputs/swmm_runs/part3_scenario_candidates/scenario_02,outputs/swmm_runs/part3_scenario_candidates/scenario_02/scenario_02.inp,outputs/swmm_runs/part3_scenario_candidates/scenario_02/scenario_02_rg5425.dat,outputs/swmm_runs/part3_scenario_candidates/scenario_02/scenario_02_rg5427.dat,2011-06-08 15:46:00,2017-06-29 06:27:00,12,1.0,1,38.54508,0.33333,pending,manual PySWMM run required; no automatic simulation output generated,True,38.87,12.103,32.736,37.245,0.088,33,0.036,0.084,125.81,557,0.691,-0.012,0.191,0.8038
scenario_10,outputs/swmm_runs/part3_scenario_candidates/scenario_10,outputs/swmm_runs/part3_scenario_candidates/scenario_10/scenario_10.inp,outputs/swmm_runs/part3_scenario_candidates/scenario_10/scenario_10_rg5425.dat,outputs/swmm_runs/part3_scenario_candidates/scenario_10/scenario_10_rg5427.dat,2011-06-08 15:46:00,2017-07-01 06:27:00,12,1.0,3,38.54508,0.33333,pending,manual PySWMM run required; no automatic simulation output generated,True,38.87,12.103,32.735,37.201,0.088,31,0.036,0.08,125.8,557,0.698,-0.012,0.288,0.7337
scenario_06,outputs/swmm_runs/part3_scenario_candidates/scenario_06,outputs/swmm_runs/part3_scenario_candidates/scenario_06/scenario_06.inp,outputs/swmm_runs/part3_scenario_candidates/scenario_06/scenario_06_rg5425.dat,outputs/swmm_runs/part3_scenario_candidates/scenario_06/scenario_06_rg5427.dat,2011-06-08 15:46:00,2017-06-30 06:27:00,12,1.0,2,38.54508,0.33333,pending,manual PySWMM run required; no automatic simulation output generated,True,38.87,12.103,32.736,37.232,0.087,32,0.036,0.09,125.77,556,0.695,-0.012,0.217,0.7304
scenario_03,outputs/swmm_runs/part3_scenario_candidates/scenario_03,outputs/swmm_runs/part3_scenario_candidates/scenario_03/scenario_03.inp,outputs/swmm_runs/part3_scenario_candidates/scenario_03/scenario_03_rg5425.dat,outputs/swmm_runs/part3_scenario_candidates/scenario_03/scenario_03_rg5427.dat,2010-06-07 03:44:00,2017-06-29 11:31:00,6,1.2,1,49.94772,0.66002,pending,manual PySWMM run required; no automatic simulation output generated,True,49.865,15.55,42.061,46.001,0.689,171,0.265,1.298,114.96,310,0.692,-0.023,0.084,0.6916
scenario_07,outputs/swmm_runs/part3_scenario_candidates/scenario_07,outputs/swmm_runs/part3_scenario_candidates/scenario_07/scenario_07.inp,outputs/swmm_runs/part3_scenario_candidates/scenario_07/scenario_07_rg5425.dat,outputs/swmm_runs/part3_scenario_candidates/scenario_07/scenario_07_rg5427.dat,2010-06-07 03:44:00,2017-06-30 11:31:00,6,1.2,2,49.94772,0.66002,pending,manual PySWMM run required; no automatic simulation output generated,True,49.865,15.55,42.061,45.967,0.689,171,0.265,1.295,114.97,311,0.696,-0.023,0.148,0.6685
scenario_01,outputs/swmm_runs/part3_scenario_candidates/scenario_01,outputs/swmm_runs/part3_scenario_candidates/scenario_01/scenario_01.inp,outputs/swmm_runs/part3_scenario_candidates/scenario_01/scenario_01_rg5425.dat,outputs/swmm_runs/part3_scenario_candidates/scenario_01/scenario_01_rg5427.dat,2010-06-07 03:44:00,2017-06-29 11:31:00,6,0.8,1,33.29927,0.44002,pending,manual PySWMM run required; no automatic simulation output generated,True,33.244,10.363,28.031,32.533,0.118,70,0.073,0.109,111.1,335,0.692,-0.019,0.145,0.6647
scenario_12,outputs/swmm_runs/part3_scenario_candidates/scenario_12,outputs/swmm_runs/part3_scenario_candidates/scenario_12/scenario_12.inp,outputs/swmm_runs/part3_scenario_candidates/scenario_12/scenario_12_rg5425.dat,outputs/swmm_runs/part3_scenario_candidates/scenario_12/scenario_12_rg5427.dat,2011-06-08 15:46:00,2017-07-01 06:27:00,12,1.5,3,57.81762,0.5,pending,manual PySWMM run required; no automatic simulation output generated,True,58.306,18.16,49.118,53.27,0.395,64,0.234,0.124,137.5,426,0.702,-0.015,0.204,0.6504
scenario_11,outputs/swmm_runs/part3_scenario_candidates/scenario_11,outputs/swmm_runs/part3_scenario_candidates/scenario_11/scenario_11.inp,outputs/swmm_runs/part3_scenario_candidates/scenario_11/scenario_11_rg5425.dat,outputs/swmm_runs/part3_scenario_candidates/scenario_11/scenario_11_rg5427.dat,2010-06-07 03:44:00,2017-07-01 11:31:00,6,1.2,3,49.94772,0.66002,pending,manual PySWMM run required; no automatic simulation output generated,True,49.865,15.55,42.061,45.932,0.689,169,0.265,1.295,115.17,311,0.701,-0.023,0.211,0.6456
scenario_08,outputs/swmm_runs/part3_scenario_candidates/scenario_08,outputs/swmm_runs/part3_scenario_candidates/scenario_08/scenario_08.inp,outputs/swmm_runs/part3_scenario_candidates/scenario_08/scenario_08_rg5425.dat,outputs/swmm_runs/part3_scenario_candidates/scenario_08/scenario_08_rg5427.dat,2011-06-08 15:46:00,2017-06-30 06:27:00,12,1.5,2,57.81762,0.5,pending,manual PySWMM run required; no automatic simulation output generated,True,58.306,18.16,49.118,53.307,0.395,62,0.234,0.124,137.52,426,0.696,-0.015,0.149,0.6393
scenario_09,outputs/swmm_runs/part3_scenario_candidates/scenario_09,outputs/swmm_runs/part3_scenario_candidates/scenario_09/scenario_09.inp,outputs/swmm_runs/part3_scenario_candidates/scenario_09/scenario_09_rg5425.dat,outputs/swmm_runs/part3_scenario_candidates/scenario_09/scenario_09_rg5427.dat,2010-06-07 03:44:00,2017-07-01 11:31:00,6,0.8,3,33.29927,0.44002,pending,manual PySWMM run required; no automatic simulation output generated,True,33.244,10.363,28.03,32.467,0.118,64,0.073,0.109,111.14,335,0.698,-0.019,0.324,0.6364
scenario_05,outputs/swmm_runs/part3_scenario_candidates/scenario_05,outputs/swmm_runs/part3_scenario_candidates/scenario_05/scenario_05.inp,outputs/swmm_runs/part3_scenario_candidates/scenario_05/scenario_05_rg5425.dat,outputs/swmm_runs/part3_scenario_candidates/scenario_05/scenario_05_rg5427.dat,2010-06-07 03:44:00,2017-06-30 11:31:00,6,0.8,2,33.29927,0.44002,pending,manual PySWMM run required; no automatic simulation output generated,True,33.244,10.363,28.03,32.501,0.118,69,0.073,0.109,111.12,335,0.694,-0.019,0.236,0.6285
scenario_04,outputs/swmm_runs/part3_scenario_candidates/scenario_04,outputs/swmm_runs/part3_scenario_candidates/scenario_04/scenario_04.inp,outputs/swmm_runs/part3_scenario_candidates/scenario_04/scenario_04_rg5425.dat,outputs/swmm_runs/part3_scenario_candidates/scenario_04/scenario_04_rg5427.dat,2011-06-08 15:46:00,2017-06-29 06:27:00,12,1.5,1,57.81762,0.5,pending,manual PySWMM run required; no automatic simulation output generated,True,58.306,18.16,49.118,53.337,0.396,62,0.234,0.124,137.36,427,0.693,-0.015,0.098,0.6027
